Date,Open,High,Low,Close,Adj Close,Volume
05-01-2021,128.889999,131.740005,128.429993,131.009995,129.080093,97664900
06-01-2021,127.720001,131.050003,126.379997,126.599998,124.735031,155088000
07-01-2021,128.360001,131.630005,127.860001,130.919998,128.991394,109578200
08-01-2021,132.429993,132.630005,130.229996,132.050003,130.104736,105158200
11-01-2021,129.190002,130.169998,128.5,128.979996,127.079956,100384500
12-01-2021,128.5,129.690002,126.860001,128.800003,126.902634,91951100
13-01-2021,128.759995,131.449997,128.490005,130.889999,128.961853,88636800
14-01-2021,130.800003,131,128.759995,128.910004,127.011032,90221800
15-01-2021,128.779999,130.220001,127,127.139999,125.267075,111598500
19-01-2021,127.779999,128.710007,126.940002,127.830002,125.946915,90757300
20-01-2021,128.660004,132.490005,128.550003,132.029999,130.085052,104319500
21-01-2021,133.800003,139.669998,133.589996,136.869995,134.853729,120150900
22-01-2021,136.279999,139.850006,135.020004,139.070007,137.021332,114459400
25-01-2021,143.070007,145.089996,136.539993,142.919998,140.81459,157611700
26-01-2021,143.600006,144.300003,141.369995,143.160004,141.051102,98390600
27-01-2021,143.429993,144.300003,140.410004,142.059998,139.96727,140843800
28-01-2021,139.520004,141.990005,136.699997,137.089996,135.070496,142621100
29-01-2021,135.830002,136.740005,130.210007,131.960007,130.016083,177523800
01-02-2021,133.75,135.380005,130.929993,134.139999,132.163956,106239800
02-02-2021,135.729996,136.309998,134.610001,134.990005,133.00145,83305400
03-02-2021,135.759995,135.770004,133.610001,133.940002,131.966919,89880900
04-02-2021,136.300003,137.399994,134.589996,137.389999,135.366089,84183100
05-02-2021,137.350006,137.419998,135.860001,136.759995,134.946716,75693800
08-02-2021,136.029999,136.960007,134.919998,136.910004,135.094711,71297200
09-02-2021,136.619995,137.880005,135.850006,136.009995,134.20665,76774200
10-02-2021,136.479996,136.990005,134.399994,135.389999,133.594879,73046600
11-02-2021,135.899994,136.389999,133.770004,135.130005,133.338348,64280000
12-02-2021,134.350006,135.529999,133.690002,135.369995,133.575134,60145100
16-02-2021,135.490005,136.009995,132.789993,133.190002,131.424057,80576300
17-02-2021,131.25,132.220001,129.470001,130.839996,129.105194,97918500
18-02-2021,129.199997,130,127.410004,129.710007,127.990189,96856700
19-02-2021,130.240005,130.710007,128.800003,129.869995,128.148071,87668800
22-02-2021,128.009995,129.720001,125.599998,126,124.329376,103916400
23-02-2021,123.760002,126.709999,118.389999,125.860001,124.191223,158273000
24-02-2021,124.940002,125.559998,122.230003,125.349998,123.687996,111039900
25-02-2021,124.68,126.459999,120.540001,120.989998,119.385803,148199500
26-02-2021,122.589996,124.849998,121.199997,121.260002,119.652229,164560400
01-03-2021,123.75,127.93,122.790001,127.790001,126.09565,116307900
02-03-2021,128.410004,128.720001,125.010002,125.120003,123.461044,102260900
03-03-2021,124.809998,125.709999,121.839996,122.059998,120.441612,112966300
04-03-2021,121.75,123.599998,118.620003,120.129997,118.537216,178155000
05-03-2021,120.980003,121.940002,117.57,121.419998,119.810097,153766600
08-03-2021,120.93,121,116.209999,116.360001,114.8172,154376600
09-03-2021,119.029999,122.059998,118.790001,121.089996,119.484474,129525800
10-03-2021,121.690002,122.169998,119.449997,119.980003,118.389214,111943300
11-03-2021,122.540001,123.209999,121.260002,121.959999,120.342941,103026500
12-03-2021,120.400002,121.169998,119.160004,121.029999,119.42527,88105100
15-03-2021,121.410004,124,120.419998,123.989998,122.346024,92403800
16-03-2021,125.699997,127.220001,124.720001,125.57,123.905075,115227900
17-03-2021,124.050003,125.860001,122.339996,124.760002,123.105812,111932600
18-03-2021,122.879997,123.18,120.32,120.529999,118.9319,121229700
19-03-2021,119.900002,121.43,119.68,119.989998,118.399055,185549500
22-03-2021,120.330002,123.870003,120.260002,123.389999,121.753983,111912300
23-03-2021,123.330002,124.239998,122.139999,122.540001,120.915268,95467100
24-03-2021,122.82,122.900002,120.07,120.089996,118.497734,88530500
25-03-2021,119.540001,121.660004,119,120.589996,118.991112,98844700
26-03-2021,120.349998,121.480003,118.919998,121.209999,119.60289,94071200
29-03-2021,121.650002,122.580002,120.730003,121.389999,119.78051,80819200
30-03-2021,120.110001,120.400002,118.860001,119.900002,118.310257,85671900
31-03-2021,121.650002,123.519997,121.150002,122.150002,120.530418,118323800
01-04-2021,123.660004,124.18,122.489998,123,121.369148,75089100
05-04-2021,123.870003,126.160004,123.07,125.900002,124.230705,88651200
06-04-2021,126.5,127.129997,125.650002,126.209999,124.536591,80171300
07-04-2021,125.830002,127.919998,125.139999,127.900002,126.204193,83466700
08-04-2021,128.949997,130.389999,128.520004,130.360001,128.631577,88844600
09-04-2021,129.800003,133.039993,129.470001,133,131.236542,106686700
12-04-2021,132.520004,132.850006,130.630005,131.240005,129.499924,91420000
13-04-2021,132.440002,134.660004,131.929993,134.429993,132.647583,91266500
14-04-2021,134.940002,135,131.660004,132.029999,130.279419,87222800
15-04-2021,133.820007,135,133.639999,134.5,132.71669,89347100
16-04-2021,134.300003,134.669998,133.279999,134.160004,132.381195,84922400
19-04-2021,133.509995,135.470001,133.339996,134.839996,133.052155,94264200
20-04-2021,135.020004,135.529999,131.809998,133.110001,131.345093,94812300
21-04-2021,132.360001,133.75,131.300003,133.5,131.729935,68847100
22-04-2021,133.039993,134.149994,131.410004,131.940002,130.190643,84566500
23-04-2021,132.160004,135.119995,132.160004,134.320007,132.539078,78657500
26-04-2021,134.830002,135.059998,133.559998,134.720001,132.933762,66905100
27-04-2021,135.009995,135.410004,134.110001,134.389999,132.608154,66015800
28-04-2021,134.309998,135.020004,133.080002,133.580002,131.808884,107760100
29-04-2021,136.470001,137.070007,132.449997,133.479996,131.710205,151101000
30-04-2021,131.779999,133.559998,131.070007,131.460007,129.716995,109839500
03-05-2021,132.039993,134.070007,131.830002,132.539993,130.782669,75135100
04-05-2021,131.190002,131.490005,126.699997,127.849998,126.154846,137564700
05-05-2021,129.199997,130.449997,127.970001,128.100006,126.401558,84000900
06-05-2021,127.889999,129.75,127.129997,129.740005,128.019791,78128300
07-05-2021,130.850006,131.259995,129.479996,130.210007,128.701797,78973300
10-05-2021,129.410004,129.539993,126.809998,126.849998,125.380707,88071200
11-05-2021,123.5,126.269997,122.769997,125.910004,124.451614,126142800
12-05-2021,123.400002,124.639999,122.25,122.769997,121.347977,112172300
13-05-2021,124.580002,126.150002,124.260002,124.970001,123.522491,105861300
14-05-2021,126.25,127.889999,125.849998,127.449997,125.973763,81918000
17-05-2021,126.82,126.93,125.169998,126.269997,124.807419,74244600
18-05-2021,126.559998,126.989998,124.779999,124.849998,123.403877,63342900
19-05-2021,123.160004,124.919998,122.860001,124.690002,123.245728,92612000
20-05-2021,125.230003,127.720001,125.099998,127.309998,125.835388,76857100
21-05-2021,127.82,128,125.209999,125.43,123.977165,79295400
24-05-2021,126.010002,127.940002,125.940002,127.099998,125.627823,63092900
25-05-2021,127.82,128.320007,126.32,126.900002,125.430138,72009500
26-05-2021,126.959999,127.389999,126.419998,126.849998,125.380707,56575900
27-05-2021,126.440002,127.639999,125.080002,125.279999,123.828888,94625600
28-05-2021,125.57,125.800003,124.550003,124.610001,123.166672,71311100
01-06-2021,125.080002,125.349998,123.940002,124.279999,122.840477,67637100
02-06-2021,124.279999,125.239998,124.050003,125.059998,123.611435,59278900
03-06-2021,124.68,124.849998,123.129997,123.540001,122.109047,76229200
04-06-2021,124.07,126.160004,123.849998,125.889999,124.431839,75169300
07-06-2021,126.169998,126.32,124.830002,125.900002,124.441719,71057600
08-06-2021,126.599998,128.460007,126.209999,126.739998,125.27198,74403800
09-06-2021,127.209999,127.75,126.519997,127.129997,125.657478,56877900
10-06-2021,127.019997,128.190002,125.940002,126.110001,124.649292,71186400
11-06-2021,126.529999,127.440002,126.099998,127.349998,125.874924,53522400
